Name,Address,City,State,Zip Code,Longitude,Latitude,Average Rating on Yelp,Average Rating on Google
24 Hours Laundry,989 Nostrand Ave,Brooklyn,NY,11225,-74.07765,40.643932,2,4
Mr Splash Laundromat,2320 Nostrand Ave,Brooklyn,NY,11210,-73.908356,40.824894,2.5,1.9
All Right Laundromat,1011 Rogers Ave,Brooklyn,NY,11226,-74.07388,40.61598,2.5,4
E 16 Laundromat,1600 Cortelyou Rd,Brooklyn,NY,11226,-74.08705,40.593025,3.5,3.7
Rio Bravo Laundromat,1612 Avenue H,Brooklyn,NY,11230,-73.98321,40.71852,3.5,4.5
Clean 'n Green Laundromat,504 5th Ave,Brooklyn,NY,11215,-73.86716,40.87174,3.5,4.1
Coney West Laundromat,1416 Coney Island Ave,Brooklyn,NY,11230,-73.94675,40.626793,4,4.2
Clean Rite Center 24 HOURS,8211 Flatlands Ave,Brooklyn,NY,11236,-73.96662,40.631733,2,3.5
Glenwood Laundromat,1053 Coney Island Ave,Brooklyn,NY,11230,-73.898094,40.866592,5,4
Sunshine Laundromat,860 Manhattan Ave,Brooklyn,NY,11222,-74.16554,40.58777,4.5,4.8
Bubbles & Suds Laundromat,5119 4th Ave,Brooklyn,NY,11209,-74.09713,40.633923,4,4.4
The Wash Depot,4814 4th Ave,Brooklyn,NY,11220,-73.98795,40.667202,2.5,3.5
J & I Laundromat Inc,3007 Avenue J,Brooklyn,NY,11210,-74.10848,40.571747,N/A,2.8
Clean Rite Center 24 HOURS,1475 Flatbush Ave,Brooklyn,NY,11210,-73.979744,40.745544,2,3.8
Vin's Laundromat,3221 Quentin Rd,Brooklyn,NY,11234,-73.85682,40.8267,3.5,3.7
Clean Rite Center 24 HOURS,442 39th St,Brooklyn,NY,11232,-73.95098,40.664265,2.5,3.9
Bubbles & Suds Laundromat,7418 5th Ave,Brooklyn,NY,11209,-73.9132,40.74886,4.5,4.6
Quickwash Laundromat,1704 East 16th Street,Brooklyn,NY,11229,-73.863132,40.7308361,N/A,3.3
Utica Laundromat,2049 Utica Ave,Brooklyn,NY,11234,-73.88214,40.828342,3,4.5
US Laundromat,2333 Hylan Blvd,Staten Island,NY,10306,-73.851074,40.83203,1,4.3
The Laundry Room of Staten Island,443 Castleton Ave,Staten Island,NY,10301,-73.957214,40.608086,4.5,4.7
Tompkins Corner Laundromat,393 Tompkins Ave # A,Staten Island,NY,10305,-73.78017,40.72949,N/A,3.6
White Star Laundromat Inc,4434 TD Bank Drive Thru Lane 4 # 4,Staten Island,NY,10312,-74.10622,40.574,N/A,3.9
"SINY Laundromat, Dry Cleaning, & Alterations",91-93 Stuyvesant Pl,Staten Island,NY,10301,-73.93951,40.612904,N/A,3.2
RICHMOND EXPRESS LAUNDROMAT,962 Richmond Ave,Staten Island,NY,10314,-74.13152,40.603493,N/A,4.3
Oakwood Laundromat,3161 Amboy Rd,Staten Island,NY,10306,-73.95379,40.72913,1,4.2
Staten Island Laundry Company,2750 Hylan Blvd,Staten Island,NY,10306,-73.91569,40.820633,4.5,4.6
